,高雄時間,同意票,不同意票,同意比例,有效票,無效票,投票人數,已開投票所投票人總數,投票率,應送行政區,已送行政區,應送開票所,已送開票所,行政區
1179,2020-06-06 17:22:31,2733,121,26.69,2854,28,2882,10238,28.15,1,1,10,10,杉林區
1180,2020-06-06 17:22:31,209,7,8.95,216,0,216,2334,9.25,1,1,4,4,那瑪夏區
1181,2020-06-06 17:22:31,3863,145,30.86,4008,56,4064,12517,32.47,1,1,18,18,內門區
1182,2020-06-06 17:23:21,9107,221,43.17,9328,57,9385,21094,44.49,1,1,24,24,鹽埕區
1183,2020-06-06 17:23:21,742793,20300,32.3,763093,4129,767222,1837037,41.76,38,19,1823,1509,高雄市
1184,2020-06-06 17:23:22,51128,1285,35.82,52413,267,52680,128317,41.05,1,0,116,105,苓雅區
1185,2020-06-06 17:23:22,17452,443,40.21,17895,96,17991,43397,41.46,1,1,42,42,新興區
1186,2020-06-06 17:23:22,49572,1270,31.35,50842,226,51068,138408,36.9,1,0,103,93,左營區
1187,2020-06-06 17:23:22,9437,252,39.81,9689,47,9736,23704,41.07,1,1,22,22,前金區
1188,2020-06-06 17:23:22,26564,628,23.42,27192,115,27307,66735,40.92,1,0,77,51,鼓山區
1189,2020-06-06 17:23:22,70973,1727,25.23,72700,355,73055,166994,43.75,1,0,189,120,三民區
1190,2020-06-06 17:23:22,60507,1619,38.47,62126,308,62434,143879,43.39,1,0,119,109,前鎮區
1191,2020-06-06 17:23:22,51169,1360,33.77,52529,237,52766,126293,41.78,1,0,99,84,楠梓區
1192,2020-06-06 17:23:23,13320,363,45.49,13683,89,13772,29282,47.03,1,1,24,24,大社區
1193,2020-06-06 17:23:23,14785,374,41.39,15159,88,15247,34342,44.4,1,0,32,31,大樹區
1194,2020-06-06 17:23:23,10658,295,44.49,10953,58,11011,23954,45.97,1,1,18,18,旗津區
1195,2020-06-06 17:23:23,19808,481,20.85,20289,119,20408,49269,41.42,1,0,81,43,大寮區
1196,2020-06-06 17:23:23,24434,672,42.41,25106,191,25297,56392,44.86,1,0,51,50,林園區
1197,2020-06-06 17:23:23,49483,1281,38.18,50764,231,50995,117323,43.47,1,0,89,82,小港區
1198,2020-06-06 17:23:23,59498,1614,20.23,61112,303,61415,157220,39.06,1,0,228,127,鳳山區
1199,2020-06-06 17:23:24,28975,795,39.17,29770,149,29919,65250,45.85,1,0,47,42,仁武區
1200,2020-06-06 17:23:24,10929,369,43.55,11298,75,11373,25097,45.32,1,1,24,24,湖內區
1201,2020-06-06 17:23:24,2552,92,39.72,2644,21,2665,6425,41.48,1,1,12,12,田寮區
1202,2020-06-06 17:23:24,15938,396,40.91,16334,89,16423,37256,44.08,1,0,28,27,鳥松區
1203,2020-06-06 17:23:24,14317,465,43.95,14782,79,14861,28427,52.28,1,0,31,27,橋頭區
1204,2020-06-06 17:23:24,18054,568,42.55,18622,111,18733,42432,44.15,1,1,41,41,路竹區
1205,2020-06-06 17:23:24,10600,315,41.54,10915,59,10974,25515,43.01,1,1,21,21,茄萣區
1206,2020-06-06 17:23:24,26066,737,32.95,26803,141,26944,65452,41.17,1,0,72,61,岡山區
1207,2020-06-06 17:23:24,10559,281,44.29,10840,70,10910,23841,45.76,1,1,21,21,阿蓮區
1208,2020-06-06 17:23:24,10618,306,41.88,10924,91,11015,25354,43.44,1,1,25,25,燕巢區
1209,2020-06-06 17:23:25,2644,151,24.25,2795,35,2830,10198,27.75,1,0,12,11,六龜區
1210,2020-06-06 17:23:25,60,1,3.95,61,0,61,1520,4.01,1,1,3,3,茂林區
1211,2020-06-06 17:23:25,9573,411,28.06,9984,86,10070,33458,30.1,1,0,32,31,美濃區
1212,2020-06-06 17:23:25,6173,193,38.78,6366,48,6414,15918,40.29,1,1,18,18,彌陀區
1213,2020-06-06 17:23:25,11399,474,37.0,11873,78,11951,30807,38.79,1,1,35,35,旗山區
1214,2020-06-06 17:23:25,3863,145,30.86,4008,56,4064,12517,32.47,1,1,18,18,內門區
1215,2020-06-06 17:23:25,179,24,5.36,203,2,205,2891,7.09,1,0,8,7,桃源區
1216,2020-06-06 17:23:25,4202,104,35.92,4306,21,4327,10008,43.24,1,0,12,11,永安區
1217,2020-06-06 17:23:25,209,7,8.95,216,0,216,2334,9.25,1,1,4,4,那瑪夏區
1218,2020-06-06 17:23:25,2733,121,26.69,2854,28,2882,10238,28.15,1,1,10,10,杉林區
1219,2020-06-06 17:23:25,14032,404,46.35,14436,87,14523,30272,47.98,1,1,28,28,梓官區
1220,2020-06-06 17:23:25,1223,56,23.41,1279,16,1295,5224,24.79,1,1,7,7,甲仙區
1221,2020-06-06 17:24:16,778143,21118,33.83,799261,4302,803563,1921345,41.82,38,22,1823,1562,高雄市
1222,2020-06-06 17:24:16,9107,221,43.17,9328,57,9385,21094,44.49,1,1,24,24,鹽埕區
1223,2020-06-06 17:24:17,55875,1492,36.88,57367,260,57627,137729,41.84,1,0,99,91,楠梓區
1224,2020-06-06 17:24:17,51954,1320,32.86,53274,241,53515,144469,37.04,1,0,103,96,左營區
